FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
heat_conduction_a.fds,2.371, 7.483E-01,27,900,0
heat_conduction_b.fds,3.611, 3.516E+00,27,900,144
heat_conduction_c.fds,13.619, 1.249E+01,27,900,513
heat_conduction_d.fds,14.233, 1.268E+01,27,900,521
heat_conduction_kc.fds,14.266, 1.380E+01,36,900,425
insulated_steel_column.fds,1108.725, 1.105E+03,2000,900,613
insulated_steel_pipe.fds,15.054, 1.502E+01,27,900,618
insulated_steel_plate.fds,10.160, 1.013E+01,27,900,416
ht3d_beam_heating_1.fds,129.461, 1.294E+02,800,900,179
ht3d_beam_heating_2.fds,818.356, 8.183E+02,800,900,1136
ht3d_energy_conservation.fds,247.793, 2.382E+02,62500,900,4
ht3d_energy_conservation_2.fds,254.911, 2.457E+02,62500,900,4
ht3d_energy_conservation_3.fds,245.394, 2.362E+02,62500,900,4
ht3d_ibeam.fds,960.036, 9.161E+02,85184,900,11
ht3d_mass_conservation.fds,63.120, 5.874E+01,8000,900,8
ht3d_slab.fds,2.302, 3.460E-01,27,900,0
ht3d_sphere_24.fds,4.014, 1.149E+00,13824,90,0
thermocouple_time_constant.fds,153.193, 1.488E+02,6750,900,24
ashrae7_fixed_flow.fds,2.840, 2.141E+00,8000,119,2
ashrae7_quadratic.fds,7.423, 2.973E+00,8000,119,3
ashrae7_table.fds,7.414, 2.910E+00,8000,119,3
door_crack.fds,2167.251, 2.159E+03,8000,900,299
fan_test.fds,18.137, 1.521E+01,40,293,1297
qfan_test.fds,8.098, 4.909E+00,40,98,1252
qfan_multi.fds,42.502, 3.890E+01,80,224,2170
HVAC_aircoil.fds,3.510, 6.078E-01,1000,88,0
HVAC_damper.fds,27.799, 2.497E+01,8000,289,10
HVAC_energy_pressure.fds,13.449, 1.071E+01,1100,703,13
HVAC_filter.fds,209.573, 2.070E+02,1000,900,230
HVAC_flow_loss.fds,44.739, 4.208E+01,8000,900,5
HVAC_mass_conservation.fds,43.549, 4.104E+01,8000,551,9
HVAC_mass_transport.fds,22.728, 1.982E+01,8400,485,4
HVAC_mass_transport_1.fds,22.876, 2.031E+01,8400,485,4
HVAC_mass_transport_2.fds,19.163, 1.828E+01,8400,485,4
HVAC_mass_transport_3.fds,19.889, 1.930E+01,8400,485,4
HVAC_mass_transport_4.fds,21.583, 2.141E+01,8400,485,5
HVAC_mass_transport_branch.fds,24.077, 2.360E+01,8400,483,5
HVAC_mass_transport_combine.fds,13.731, 1.131E+01,8400,121,11
HVAC_mass_transport_conservation_1.fds,279.868, 2.780E+02,8400,900,36
HVAC_mass_transport_conservation_2.fds,149.982, 1.494E+02,8400,900,19
HVAC_mass_transport_conservation_3.fds,135.423, 1.348E+02,8400,900,17
HVAC_mass_transport_conv_0020.fds,6.128, 3.447E+00,8400,80,5
HVAC_mass_transport_conv_0040.fds,8.864, 6.442E+00,8400,160,4
HVAC_mass_transport_conv_0080.fds,16.602, 1.429E+01,8400,320,5
HVAC_mass_transport_conv_0160.fds,29.015, 2.846E+01,8400,640,5
HVAC_mass_transport_conv_0320.fds,50.240, 4.915E+01,8400,900,6
HVAC_mass_transport_energy.fds,9.758, 9.272E+00,1100,900,9
HVAC_tee_loss_1.fds,10.877, 1.036E+01,8000,189,6
HVAC_tee_loss_2.fds,11.259, 1.066E+01,8000,166,8
leak_test.fds,4.005, 3.501E+00,2000,336,5
leak_test_2.fds,14.628, 1.456E+01,2000,334,21
leak_enthalpy.fds,6.408, 6.351E+00,200,500,63
leak_test_4.fds,694.987, 6.745E+02,64000,376,28
HVAC_leak_exponent.fds,35.538, 3.537E+01,60,397,1484
layer_1mesh.fds,416.671, 4.114E+02,8000,900,57
obst_sphere_mass_flux.fds,79.540, 9.554E+00,125000,4,19
obst_cylinder_mass_flux.fds,179.829, 1.459E+02,125000,88,13
obst_cone_mass_flux.fds,110.503, 8.708E+01,125000,57,12
obst_box_mass_flux.fds,124.836, 9.526E+01,125000,63,12
devc_interpolation_velocity.fds,121.035, 1.206E+02,25,900,5360
devc_interpolation_temperature.fds,139.951, 1.397E+02,25,900,6208
ns2d_16.fds,6.338, 6.133E+00,256,295,81
ns2d_16_nupt1.fds,5.634, 5.428E+00,256,227,93
ns2d_32.fds,25.767, 2.552E+01,1024,568,43
ns2d_32_nupt1.fds,29.910, 2.971E+01,1024,440,65
ns2d_64.fds,330.344, 3.300E+02,4096,900,89
ns2d_64_nupt1.fds,249.892, 2.493E+02,4096,946,64
ns2d_8.fds,4.081, 3.963E+00,64,156,396
ns2d_8_nupt1.fds,3.613, 3.543E+00,64,120,461
vort2d_40.fds,24.955, 2.483E+01,1600,360,43
vort2d_80.fds,255.751, 2.552E+02,6400,720,55
vort2d_160.fds,985.108, 9.845E+02,25600,900,42
