FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
compression_wave_FL2_128.fds,2392.353, 2.388E+03,16384,900,161
compression_wave_FL4_16.fds,34.813, 3.172E+01,256,944,131
compression_wave_FL4_32.fds,120.965, 1.176E+02,1024,900,127
compression_wave_FL4_64.fds,683.900, 6.804E+02,4096,900,184
compression_wave_FL4_128.fds,2287.227, 2.283E+03,16384,900,154
compression_wave_FL5_16.fds,35.826, 3.575E+01,256,944,147
compression_wave_FL5_32.fds,96.843, 9.244E+01,1024,900,100
compression_wave_FL5_64.fds,619.805, 6.154E+02,4096,900,166
compression_wave_FL5_128.fds,2218.918, 2.215E+03,16384,900,150
move_slug.fds,398.733, 3.984E+02,160,678,3672
move_slug_fl1.fds,378.386, 3.781E+02,160,678,3485
shunn3_32.fds,5.968, 5.859E+00,1024,55,104
shunn3_64.fds,51.477, 5.128E+01,4096,96,130
shunn3_128.fds,314.136, 3.136E+02,16384,182,105
shunn3_256.fds,1345.505, 1.340E+03,65536,354,57
shunn3_512.fds,6269.760, 6.254E+03,262144,704,33
shunn3_256_cfl_1.fds,16.207, 1.034E+01,65536,2,78
shunn3_256_cfl_p5.fds,25.442, 2.037E+01,65536,4,77
shunn3_256_cfl_p25.fds,51.087, 4.584E+01,65536,8,87
shunn3_256_cfl_p125.fds,86.412, 8.147E+01,65536,16,77
shunn3_256_cfl_p0625.fds,173.303, 1.677E+02,65536,32,79
saad_512_cfl_1.fds,40.133, 3.991E+01,2048,100,194
saad_512_cfl_p5.fds,61.623, 5.670E+01,2048,200,138
saad_512_cfl_p25.fds,130.426, 1.257E+02,2048,400,153
saad_512_cfl_p125.fds,175.312, 1.716E+02,2048,800,104
saad_512_cfl_p0625.fds,360.987, 3.569E+02,2048,900,193
shunn3_FavreZ_32.fds,75.144, 7.503E+01,1024,541,135
shunn3_FavreZ_64.fds,454.360, 4.541E+02,4096,973,113
soborot_godunov_square_wave_16.fds,0.302, 2.330E-01,256,109,0
soborot_godunov_square_wave_32.fds,8.736, 5.647E+00,1024,220,25
soborot_godunov_square_wave_64.fds,44.669, 4.449E+01,4096,444,24
soborot_superbee_square_wave_16.fds,0.235, 1.632E-01,256,55,0
soborot_superbee_square_wave_32.fds,4.959, 4.876E+00,1024,111,42
soborot_superbee_square_wave_64.fds,27.027, 2.481E+01,4096,223,27
soborot_superbee_square_wave_128_1mesh.fds,103.916, 1.011E+02,16384,447,13
soborot_charm_square_wave_16.fds,2.488, 1.456E-01,256,55,0
soborot_charm_square_wave_32.fds,3.673, 1.300E+00,1024,111,11
soborot_charm_square_wave_64.fds,23.686, 2.348E+01,4096,223,25
soborot_charm_cos_wave_16.fds,3.034, 2.966E+00,256,55,210
soborot_charm_cos_wave_32.fds,4.019, 3.951E+00,1024,111,34
soborot_charm_cos_wave_64.fds,28.082, 2.552E+01,4096,223,27
soborot_superbee_cos_wave_16.fds,0.201, 1.484E-01,256,55,0
soborot_superbee_cos_wave_32.fds,1.116, 1.043E+00,1024,111,9
soborot_superbee_cos_wave_64.fds,26.546, 2.635E+01,4096,223,28
soborot_mp5_cos_wave_16.fds,0.204, 1.453E-01,256,55,0
soborot_mp5_cos_wave_32.fds,5.845, 5.756E+00,1024,111,50
soborot_mp5_cos_wave_64.fds,26.319, 2.614E+01,4096,223,28
race_test_1.fds,273.588, 2.629E+02,84,971,3223
race_test_4.fds,219.455, 2.108E+02,84,971,2584
openmp_test64a.fds,1477.782, 1.465E+03,262144,900,6
openmp_test64b.fds,950.842, 9.413E+02,262144,900,3
openmp_test64c.fds,773.843, 7.652E+02,262144,900,3
